"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Static Security Analysis Based on Input-Related Software Faults","C. Nagy; S. Mancoridis","NA; NA","2009 13th European Conference on Software Maintenance and Reengineering","","2009","","","37","46","It is important to focus on security aspects during the development cycle to deliver reliable software. However, locating security faults in complex systems is difficult and there are only a few effective automatic tools available to help developers. In this paper we present an approach to help developers locate vulnerabilities by marking parts of the source code that involve user input. We focus on input-related code, since an attacker can usually take advantage of vulnerabilities by passing malformed input to the application. The main contributions of this work are two metrics to help locate faults during a code review, and algorithms to locate buffer overflow and format string vulnerabilities in C source code. We implemented our approach as a plug in to the Grammatech CodeSurfer tool. We tested and validated our technique on open source projects and we found faults in software that includes Pidgin and cyrus-imapd.","1534-5351","978-1-4244-3755-9978-0-7695-3589","10.1109/CSMR.2009.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812737","static analysis;security analysis","Data security;Buffer overflow;Software maintenance;Open source software;Software algorithms;Computer security;Software systems;Performance analysis;Fault diagnosis;Software engineering","program diagnostics;security of data;software metrics;software reliability","static security analysis;input-related software faults;reliable software;complex systems;software development;C source code;Grammatech CodeSurfer tool","","6","33","","","","","","IEEE","IEEE Conferences"
"Software Security; A Vulnerability Activity Revisit","M. A. Hadavi; H. Shirazi; H. M. Sangchi; V. S. Hamishagi","NA; NA; NA; NA","2008 Third International Conference on Availability, Reliability and Security","","2008","","","866","872","This paper attempts to introduce a method for developing secure software based on the vulnerabilities which are already known. In the proposed method, the most prevalent vulnerabilities are selected. For each vulnerability its location of appearance within the software development process, as well as methods of mitigation through design-level or implementation- level activities is discussed. Mapping vulnerabilities to design and implementation within software development process not only results to a better understanding of vulnerability emergence, but also allows countermeasures to be applied during initial steps of vulnerability creation, and thus better software security. This mapping shows that choosing a suitable programming language and enforcing the least privileges are the most vital design time decisions. Also, security code review and server side input validation are implementation-level activities assumed to cover most of the vulnerabilities.","","978-0-7695-3102","10.1109/ARES.2008.200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4529435","software;security;Vulnerability;design;implementation;Activity","Programming;Application software;Open source software;Software engineering;Data security;Software design;Availability;Reliability engineering;Computer languages;Network servers","safety-critical software;security of data","software security;vulnerability-activity revisit;software development process;vulnerability emergence;vulnerability creation","","5","46","","","","","","IEEE","IEEE Conferences"
"A large-scale empirical study of just-in-time quality assurance","Y. Kamei; E. Shihab; B. Adams; A. E. Hassan; A. Mockus; A. Sinha; N. Ubayashi","Kyushu University, Fukuoka; Rochester Institute of Technology, Rochester; École Polytechnique de Montréal, Montréal; Queen's University, Kingston; Avaya Labs Research, Basking Ridge; Research In Motion, Waterloo; Kyushu University, Fukuoka","IEEE Transactions on Software Engineering","","2013","39","6","757","773","Defect prediction models are a well-known technique for identifying defect-prone files or packages such that practitioners can allocate their quality assurance efforts (e.g., testing and code reviews). However, once the critical files or packages have been identified, developers still need to spend considerable time drilling down to the functions or even code snippets that should be reviewed or tested. This makes the approach too time consuming and impractical for large software systems. Instead, we consider defect prediction models that focus on identifying defect-prone (“risky”) software changes instead of files or packages. We refer to this type of quality assurance activity as “Just-In-Time Quality Assurance,” because developers can review and test these risky changes while they are still fresh in their minds (i.e., at check-in time). To build a change risk model, we use a wide range of factors based on the characteristics of a software change, such as the number of added lines, and developer experience. A large-scale study of six open source and five commercial projects from multiple domains shows that our models can predict whether or not a change will lead to a defect with an average accuracy of 68 percent and an average recall of 64 percent. Furthermore, when considering the effort needed to review changes, we find that using only 20 percent of the effort it would take to inspect all changes, we can identify 35 percent of all defect-inducing changes. Our findings indicate that “Just-In-Time Quality Assurance” may provide an effort-reducing way to focus on the most risky changes and thus reduce the costs of developing high-quality software.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2012.70","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341763","Maintenance;software metrics;mining software repositories;defect prediction;just-in-time prediction","Measurement;Quality assurance;Predictive models;Software;Entropy;Object oriented modeling;Accuracy","program testing;software maintenance;software metrics;software quality","just-in-time quality assurance;defect prediction models;defect-prone file identification;defect-prone package identification;software systems;risk model;open source projects;commercial projects;risky changes;cost reduction;defect-prone software change identification;software metrics;software repository mining;software quality assurance activities;source code inspection;unit testing","","77","63","","","","","","IEEE","IEEE Journals & Magazines"
"WAP: Understanding the Brain at Software Debugging","J. Duraes; H. Madeira; J. Castelhano; C. Duarte; M. C. Branco","NA; NA; NA; NA; NA","2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE)","","2016","","","87","92","We propose that understanding functional patterns of activity in mapped brain regions associated with code comprehension tasks and, more specifically, to the activity of finding bugs in traditional code inspections could reveal useful insights to improve software reliability and to improve the software development process in general. This includes helping to select the best professionals for the debugging effort, improving the conditions for code inspections, and identify new directions to follow for training code reviewers. This paper presents an interdisciplinary study to analyze the brain activity during code inspection tasks using functional magnetic resonance imaging (fMRI), which is a well-established tool in cognitive neuroscience research. We used several programs where realistic bugs representing the most frequent types of software faults found in the field were injected. The code inspectors involved in the research include programmers with different levels of expertise and experience in real code reviews. The goal is to understand brain activity patterns associated with code comprehension tasks and, more specifically, the brain activity when the code reviewer identifies a bug in the code ('eureka' moment), which can be a true positive or a false positive. Our results confirmed that brain areas associated with language processing and mathematics are highly active during code reviewing and shows that there are specific brain activity patterns that can be related to the decision-making moment of suspicion/bug detection. Importantly, the activity at the anterior insula region that we find to play a relevant role in the process of identifying software bugs is positively correlated to the precision of bug detection by the inspectors. This finding provides a new perspective on the role of this region on error awareness and monitoring and of its potential predictive value in predicting the quality of bug removing.","2332-6549","978-1-4673-9002-6978-1-4673-9003","10.1109/ISSRE.2016.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7774510","software faults;ODC;software inspections;fRMI;cognitive neuroscience","Software;Computer bugs;Inspection;Brain;Magnetic resonance imaging;Software reliability;Neuroscience","biomedical MRI;program debugging;software engineering;software reliability","software debugging;WAP;activity functional patterns;brain regions;code comprehension tasks;code inspections;software reliability improvement;software development process;debugging effort;functional magnetic resonance imaging;fMRI;cognitive neuroscience research;realistic bugs;software faults;brain activity patterns;language processing;code reviewing;decision-making moment;suspicion-bug detection;anterior insula region;error awareness;error monitoring;bug removing quality prediction","","","15","","","","","","IEEE","IEEE Conferences"
"Estimating the number of faults remaining in software code documents inspected with iterative code reviews","A. Harel; K. Kantorowitz","Technion-Israel Inst. of Technol., Haifa, Israel; Technion-Israel Inst. of Technol., Haifa, Israel","IEEE International Conference on Software - Science, Technology & Engineering (SwSTE'05)","","2005","","","151","160","Code review is considered an efficient method for detecting faults in a software code document. The number of faults not detected by the review should be small. Current methods for estimating this number assume reviews with several inspectors, but there are many cases where it is practical to employ only two inspectors. Sufficiently accurate estimates may be obtained by two inspectors employing an iterative code review (ICR) process. This paper introduces a new estimator for the number of undetected faults in an ICR process, so the process may be stopped when a satisfactory result is estimated. This technique employs the Kantorowitz estimator for N-fold inspections, where the N teams are replaced by N reviews. The estimator was tested for three years in an industrial project, where it produced satisfactory results. More experiments are needed in order to fully evaluate the approach.","","0-7695-2335","10.1109/SWSTE.2005.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1421075","","Inspection;Animals;Fault detection;Computer science;Chromium;Iterative methods;Testing;Software engineering;Job shop scheduling;Biological information theory","program testing;program verification;program debugging;software performance evaluation","software code document;iterative code reviews;Kantorowitz estimator;N-fold inspections;industrial project","","1","33","","","","","","IEEE","IEEE Conferences"
"Situational awareness: Personalizing issue tracking systems","O. Baysal; R. Holmes; M. W. Godfrey","Software Architecture Group (SWAG), David R. Cheriton School of Computer Science, University of Waterloo, Canada; Software Architecture Group (SWAG), David R. Cheriton School of Computer Science, University of Waterloo, Canada; Software Architecture Group (SWAG), David R. Cheriton School of Computer Science, University of Waterloo, Canada","2013 35th International Conference on Software Engineering (ICSE)","","2013","","","1185","1188","Issue tracking systems play a central role in ongoing software development; they are used by developers to support collaborative bug fixing and the implementation of new features, but they are also used by other stakeholders including managers, QA, and end-users for tasks such as project management, communication and discussion, code reviews, and history tracking. Most such systems are designed around the central metaphor of the “issue” (bug, defect, ticket, feature, etc.), yet increasingly this model seems ill fitted to the practical needs of growing software projects; for example, our analysis of interviews with 20 Mozilla developers who use Bugzilla heavily revealed that developers face challenges maintaining a global understanding of the issues they are involved with, and that they desire improved support for situational awareness that is difficult to achieve with current issue management systems. In this paper we motivate the need for personalized issue tracking that is centered around the information needs of individual developers together with improved logistical support for the tasks they perform. We also describe an initial approach to implement such a system - extending Bugzilla - that enhances a developer's situational awareness of their working context by providing views that are tailored to specific tasks they frequently perform; we are actively improving this prototype with input from Mozilla developers.","0270-5257;1558-1225","978-1-4673-3076-3978-1-4673-3073","10.1109/ICSE.2013.6606674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606674","","Computer bugs;Software;Prototypes;Interviews;Electronic mail;Target tracking;Software engineering","online front-ends;project management;software development management","issue tracking system personalization;software development;collaborative bug fixing;project management;code review;history tracking;software project;Mozilla developers;Bugzilla;issue management system;information needs;logistical support;developer situational awareness","","3","20","","","","","","IEEE","IEEE Conferences"
"Synthesizing Continuous Deployment Practices Used in Software Development","A. A. U. Rahman; E. Helms; L. Williams; C. Parnin","NA; NA; NA; NA","2015 Agile Conference","","2015","","","1","10","Continuous deployment speeds up the process of existing agile methods, such as Scrum, and Extreme Programming (XP) through the automatic deployment of software changes to end-users upon passing of automated tests. Continuous deployment has become an emerging software engineering process amongst numerous software companies, such as Facebook, Github, Netflix, and Rally Software. A systematic analysis of software practices used in continuous deployment can facilitate a better understanding of continuous deployment as a software engineering process. Such analysis can also help software practitioners in having a shared vocabulary of practices and in choosing the software practices that they can use to implement continuous deployment. The goal of this paper is to aid software practitioners in implementing continuous deployment through a systematic analysis of software practices that are used by software companies. We studied the continuous deployment practices of 19 software companies by performing a qualitative analysis of Internet artifacts and by conducting follow-up inquiries. In total, we found 11 software practices that are used by 19 software companies. We also found that in terms of use, eight of the 11 software practices are common across 14 software companies. We observe that continuous deployment necessitates the consistent use of sound software engineering practices such as automated testing, automated deployment, and code review.","","978-1-4673-7153","10.1109/Agile.2015.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284592","agile;continuous deployment;continuous delivery;industry practices;internet artifacts;follow-up inquiries","Software;Companies;Internet;Testing;Software engineering;Facebook;Industries","program testing;software prototyping","continuous deployment;software development;agile methods;Scrum;extreme programming;XP;automated tests;software engineering process;software companies;Internet artifacts;automated deployment;code reviewing","","12","43","","","","","","IEEE","IEEE Conferences"
"Evaluation of static analysis tools for software security","H. H. AlBreiki; Q. H. Mahmoud","Department of Computer Information Science, Higher Colleges of Technology, UAE; Department of Electrical, Computer and Software Eng. University of Ontario Institute of Technology, Canada","2014 10th International Conference on Innovations in Information Technology (IIT)","","2014","","","93","98","Security has been always treated as an add-on feature in the software development lifecycle, and addressed by security professionals using firewalls, proxies, intrusion prevention systems, antivirus and platform security. Software is at the root of all common computer security problems, and hence hackers don't create security holes, but rather exploit them. Security holes in software applications are the result of bad design and implementation of software systems and applications. To address this problem, several initiatives for integrating security in the software development lifecycle have been proposed, along with tools to support a security-centric software development lifecycle. This paper introduces a framework for evaluating security static analysis tools such as source code analyzers, and offers evaluation of non-commercial static analysis tools such as Yasca, CAT.NET, and FindBugs. In order to evaluate the effectiveness of such tools, common software weaknesses are defined based on CWE/SANS Top 25, OWASP Top Ten and NIST source code weaknesses. The evaluation methodology is based on the NIST Software Assurance Metrics And Tool Evaluation (SAMATE). Results show that security static analysis tools are, to some extent, effective in detecting security holes in source code; source code analyzers are able to detect more weaknesses than bytecode and binary code scanners; and while tools can assist the development team in security code review activities, they are not enough to uncover all common weaknesses in software. The new test cases developed for this research have been contributed to the NIST Software Assurance Reference Dataset (samate.nist.gov/SARD).","","978-1-4799-7212-8978-1-4799-7210","10.1109/INNOVATIONS.2014.6987569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987569","software security;static analysis;OWASP;SAMATE;security metrics","Security;Software;Java;Binary codes;NIST;Computer architecture;Industries","program diagnostics;security of data;software metrics;software tools;source code (software)","security static analysis tools;software security;firewalls;proxies;intrusion prevention systems;antivirus;platform security;hackers;security holes;security-centric software development lifecycle;source code analyzers;noncommercial static analysis tools;Yasca;CAT.NET;FindBugs;CWE-SANS Top 25;OWASP Top Ten;NIST source code weaknesses;NIST software assurance metrics and tool evaluation;NIST SAMATE;NIST software assurance reference dataset","","3","30","","","","","","IEEE","IEEE Conferences"
"State of Mutation Testing at Google","G. Petrovic; M. Ivankovic","NA; NA","2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP)","","2017","","","163","171","Mutation testing assesses test suite efficacy by inserting small faults into programs and measuring the ability of the test suite to detect them. It is widely considered the strongest test criterion in terms of finding the most faults and it subsumes a number of other coverage criteria. Traditional mutation analysis is computationally prohibitive which hinders its adoption as an industry standard. In order to alleviate the computational issues, we present a diff-based probabilistic approach to mutation analysis that drastically reduces the number of mutants by omitting lines of code without statement coverage and lines that are determined to be uninteresting - we dub these arid lines. Furthermore, by reducing the number of mutants and carefully selecting only the most interesting ones we make it easier for humans to understand and evaluate the result of mutation analysis. We propose a heuristic for judging whether a node is arid or not, conditioned on the programming language. We focus on a code-review based approach and consider the effects of surfacing mutation results on developer attention. The described system is used by 6,000 engineers in Google on all code changes they author or review, affecting in total more than 13,000 code authors as part of the mandatory code review process. The system processes about 30% of all diffs across Google that have statement coverage calculated. About 15% of coverage statement calculations fail across Google.","","978-1-4503-5659-6978-1-5386-6360","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449247","mutation testing;code coverage;test efficacy","Google;Testing;Tools;Compounds;Computer languages;Probabilistic logic;Syntactics","","","","","18","","","","","","IEEE","IEEE Conferences"
"Are One-Time Contributors Different? A Comparison to Core and Periphery Developers in FLOSS Repositories","A. Lee; J. C. Carver","NA; NA","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","","2017","","","1","10","Context: Free/Libre Open Source Software (FLOSS) communities consist of different types of contributors. Core contributors and peripheral contributors work together to create a successful project, each playing a different role. One-Time Contributors (OTCs), who are on the very fringe of the peripheral developers, are largely unstudied despite offering unique insights into the development process. In a prior survey, we identified OTCs and discovered their motivations and barriers. Aims: The objective of this study is to corroborate the survey results and provide a better understand of OTCs. We compare OTCs to other peripheral and core contributors to determine whether they are distinct. Method: We mined data from the same code-review repository used to identify survey respondents in our previous study. After identifying each contributor as core, periphery, or OTC, we compared them in terms of patch size, time interval from submission to decision, the nature of their conversations, and patch acceptance rates. Results: We identified a continuum between core developers and OTCs. OTCs create smaller patches, face longer time intervals between patch submission and rejection, have longer review conversations, and face lower patch acceptance rates. Conversely, core contributors create larger patches, face shorter time intervals for feedback, have shorter review conversations, and have patches accepted at the highest rate. The peripheral developers fall in between the OTCs and the core contributors. Conclusion: OTCs do, in fact, face the barriers identified in our prior survey. They represent a distinct group of contributors compared to core and peripheral developers.","","978-1-5090-4039-1978-1-5090-4040","10.1109/ESEM.2017.7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169979","FLOSS;One-Time Contributors;OTC;repository mining","Computer bugs;Face;Data mining;Computer science;Electronic mail;Open source software","data mining;public domain software","one-time contributors;periphery developers;Free/Libre Open Source Software communities;core contributors;peripheral contributors;playing a different role;OTC;peripheral developers;development process;time interval;core developers;face longer time intervals;face shorter time intervals","","1","16","","","","","","IEEE","IEEE Conferences"
"Cesar: Visual representation of source code vulnerabilities","H. Assal; S. Chiasson; R. Biddle","School of Computer Science, Carleton University; School of Computer Science, Carleton University; School of Computer Science, Carleton University","2016 IEEE Symposium on Visualization for Cyber Security (VizSec)","","2016","","","1","8","Code analysis tools are not widely accepted by developers, and software vulnerabilities are detected by the thousands every year. We take a user-centered approach to that problem, starting with analyzing one of the popular open source static code analyzers, and uncover serious usability issues facing developers. We then design Cesar, a system offering developers a visual analysis environment to support their quest to rid their code of vulnerabilities. We present a prototype implementation of Cesar, and perform a usability analysis of the prototype and the visualizations it employs. Our analysis shows that the prototype is promising in promoting collaboration, exploration, and enabling developers to focus on the overall quality of their code as well as inspect individual vulnerabilities. We finally provide general recommendations to guide future designs of code review tools to enhance their usability.","","978-1-5090-1605-1978-1-5090-1606","10.1109/VIZSEC.2016.7739576","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7739576","","Security;Visualization;Usability;Collaboration;Prototypes;Computer science","program diagnostics;program visualisation;source code (software)","user-centered approach;open source static code analyzers;usability issues;Cesar;visual analysis environment;source code vulnerabilities","","2","23","","","","","","IEEE","IEEE Conferences"
"The importance of testing Smart Grid IEDs against security vulnerabilities","P. E. Weerathunga; A. Cioraca","General Electric Grid Solutions - Canada; General Electric Grid Solutions - Canada","2016 69th Annual Conference for Protective Relay Engineers (CPRE)","","2016","","","1","21","As the Smart Grid becomes highly interconnected, the power protection, control, and monitoring functions of the grid are increasingly relying on the communications infrastructure, which has seen rapid growth. At the same time concerns regarding cyber threats have attracted significant attention towards the security of power systems. A properly designed security attack against the power grid can cause catastrophic damages to equipment and create large scale power outages. The smart grid consists of critical IEDs, which are considered high priority targets for malicious security attacks. For this reason it is very important to design the IEDs from the beginning with cyber security in mind, starting with the selection of hardware and operating systems, so that all facets of security are addressed and the product is robust and can stand attacks. Fact is that the subject of cyber security is vast and it covers many aspects. This paper focuses mainly on one of these aspects, namely the aspect of IED firmware system testing from the security point of view. The paper discusses practical aspects of IED security testing, and introduces the reader to types of vulnerability exploitations on the IED communication stack and SCADA applications, practical aspects of security testing, the importance of early vulnerability detection and ways in which the security testing helps towards regulatory standards compliance, such as NERC-CIP. Finally, based on the results from the simulated attacks, the paper discusses the importance of good security practices in design and coding, so that the potential to introduce vulnerabilities is kept to a minimum. Designing with security in mind also includes good security practices, both in design and coding, and adequate policies for the software development process. Critical software development milestones must be established, such as design and test documentation review, code review, unit, integration and system testing.","2474-9753","978-1-5090-1532-0978-1-5090-1533","10.1109/CPRE.2016.7914920","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7914920","IED = Intelligent Electronic Device;OT = Operational Technology;TCP/IP = Transmission Control Protocol/Internet Protocol;IT = Information Technology;CVE = Common Vulnerabilities and Exposures;CPU = Central Processing Unit;OSI = Open System Interconnect;UDP = User Datagram Protocol;DNP = Distributed Network Protocol;IP = Internet Protocol;MAC = Media Access Control;MTU = Maximum Transmission Unit","Protocols;Software;Computer security;System testing;Encoding","power system reliability;power system security;smart power grids","smart grid IED;security vulnerabilities;power protection;power control;power monitoring functions;communications infrastructure;cyber threats;power system security;power grid;large scale power outages;malicious security attacks;cyber security;IED firmware system testing;vulnerability exploitations;IED communication stack;SCADA applications;early vulnerability detection;NERC-CIP;software development process","","2","3","","","","","","IEEE","IEEE Conferences"
"BP: Integrating Cyber Vulnerability Assessments Earlier into the Systems Development Lifecycle: A Methodology to Conduct Early-Cycle Cyber Vulnerability Assessments","S. Glumich; J. Riley; P. Ratazzi; A. Ozanam","NA; NA; NA; NA","2018 IEEE Cybersecurity Development (SecDev)","","2018","","","77","84","During development of high assurance cyber systems, third-party security evaluations such as cyber vulnerability assessments (CVAs) and red teaming may not be conducted until after system implementation. This late in the systems development lifecycle (SDLC), mitigating a single implementation vulnerability may require altering the system requirements, architecture, and design, resulting in a cascade of secondary effects that necessitate additional implementation changes. This paper proposes to identify and mitigate vulnerabilities earlier in the SDLC by conducting early-cycle CVAs (eCVAs). eCVAs initiate the vulnerability assessment process earlier and integrate three CVAs into the SDLC. The three types of assessments include a requirements CVA to analyze system requirements specifications, an architecture and design CVA to evaluate architecture and design artifacts, and an implementation CVA with a focus on manual code review, static and dynamic analysis, and researching leveraged code for known vulnerabilities. This paper describes the three types of CVAs and outlines the results of a year-long pilot effort carried out by the Air Force Research Laboratory Information Directorate eCVA team.","","978-1-5386-7662-2978-1-5386-7661-5978-1-5386-7663","10.1109/SecDev.2018.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543390","Cyber Vulnerability Assessment, Systems Development Lifecycle, Cyber Security, Systems Engineering","Security;Unified modeling language;Computer architecture;Modeling;Documentation;Mathematical model;Hardware","formal specification;security of data;software development management;systems engineering","SDLC;vulnerability assessment process;Air Force Research Laboratory Information Directorate eCVA team;systems development lifecycle;early-cycle cyber vulnerability assessments;third-party security evaluations;system requirements specifications;system architecture;system design;eCVA;early-cycle CVA","","","7","","","","","","IEEE","IEEE Conferences"
"Software Security: Building Security In","G. McGraw","Cigital, Inc.","2006 17th International Symposium on Software Reliability Engineering","","2006","","","6","6","Summary form only given. Software security has come a long way in the last few years, but we've really only just begun. I will present a detailed approach to getting past theory and putting software security into practice. The three pillars of software security are applied risk management, software security best practices (which I call touchpoints), and knowledge. By describing a manageably small set of touchpoints based around the software artifacts that you already produce, I avoid religious warfare over process and get on with the business of software security. That means you can adopt the touchpoints without radically changing the way you work. The touchpoints I will describe include: code review using static analysis tools; architectural risk analysis; penetration testing; security testing; abuse case development; and security requirements. Like the yin and the yang, software security requires a careful balance-attack and defense, exploiting and designing, breaking and building-bound into a coherent package. Create your own Security Development Lifecycle by enhancing your existing software development lifecycle with the touchpoints","1071-9458;2332-6549","0-7695-2684","10.1109/ISSRE.2006.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4021964","","National security;Risk analysis;Software testing;Books;Java;Privacy;Risk management;Best practices;Software tools;Software packages","program diagnostics;program testing;risk analysis;security of data;software architecture;software reliability","software security;risk management;static analysis;architectural risk analysis;penetration testing;security testing;abuse case development;security requirements;security development lifecycle;software development lifecycle","","103","","","","","","","IEEE","IEEE Conferences"
"Multi-objective Cross-Project Defect Prediction","G. Canfora; A. De Lucia; M. Di Penta; R. Oliveto; A. Panichella; S. Panichella","NA; NA; NA; NA; NA; NA","2013 IEEE Sixth International Conference on Software Testing, Verification and Validation","","2013","","","252","261","Cross-project defect prediction is very appealing because (i) it allows predicting defects in projects for which the availability of data is limited, and (ii) it allows producing generalizable prediction models. However, existing research suggests that cross-project prediction is particularly challenging and, due to heterogeneity of projects, prediction accuracy is not always very good. This paper proposes a novel, multi-objective approach for cross-project defect prediction, based on a multi-objective logistic regression model built using a genetic algorithm. Instead of providing the software engineer with a single predictive model, the multi-objective approach allows software engineers to choose predictors achieving a compromise between number of likely defect-prone artifacts (effectiveness) and LOC to be analyzed/tested (which can be considered as a proxy of the cost of code inspection). Results of an empirical evaluation on 10 datasets from the Promise repository indicate the superiority and the usefulness of the multi-objective approach with respect to single-objective predictors. Also, the proposed approach outperforms an alternative approach for cross-project prediction, based on local prediction upon clusters of similar classes.","2159-4848","978-0-7695-4968-2978-1-4673-5961","10.1109/ICST.2013.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6569737","Cross-project defect prediction;multi-objective optimization;search-based software engineering","Predictive models;Software;Data models;Measurement;Logistics;Inspection;Accuracy","genetic algorithms;pattern clustering;regression analysis;search problems;software engineering;software management","multiobjective cross-project defect prediction accuracy;generalizable prediction models;project heterogeneity;multiobjective logistic regression model;genetic algorithm;defect-prone artifacts;LOC testing;Promise repository;software engineers;LOC analysis;GA","","38","21","","","","","","IEEE","IEEE Conferences"
"High-Assurance Distributed, Adaptive Software for Dynamic Systems","K. Rohloff; J. Loyall; P. Pal; R. Schantz","NA; NA; NA; NA","10th IEEE High Assurance Systems Engineering Symposium (HASE'07)","","2007","","","385","386","Exhaustive testing, documentation, code review, and formal methods have been the main approaches for software certification in high confidence cyber-physical systems. Although these methods have been sufficient in the past, continued reliance on these methods is no longer economically feasible for increasingly complex modern, distributed, dynamic systems due to inherent problems of state-explosions. Examples of such distributed high-assurance systems include DoD systems (including secure, timely command, control and information sharing systems and for military logistics), systems for manufacturing and process control (for industries whose safety is of critical national importance such as transportation, chemical, oil and natural gas), and medical systems among others. We need to develop innovative, economically feasible means to certify distributed dynamic control software for cyber-physical systems so that when these systems are deployed, harmful unpredictable emergent behavior does not manifest itself.","1530-2059","0-7695-3043-5978-0-7695-3043","10.1109/HASE.2007.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4404768","","Software systems;Medical control systems;Control systems;Chemical industry;Software testing;System testing;Documentation;Certification;Logistics;Manufacturing processes","adaptive systems;distributed processing","high-assurance distributed adaptive software;dynamic systems;software certification;distributed dynamic control software;cyberphysical systems","","1","3","","","","","","IEEE","IEEE Conferences"
"Toward an Empirical Theory of Feedback-Driven Development","M. Beller","NA","2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)","","2018","","","503","505","Software developers today crave for feedback, be it from their peers or even bots in the form of code review, static analysis tools like their compiler, or the local or remote execution of their tests in the Continuous Integration (CI) environment. With the advent of social coding sites like GitHub and tight integration of CI services like Travis CI, software development practices have fundamentally changed. Despite a highly changed software engineering landscape, however, we still lack a suitable description of an individual's contemporary software development practices, that is how an individual code contribution comes to be. Existing descriptions like the v-model are either too coarse-grained to describe an individual contributor's workflow, or only regard a sub-part of the development process like Test-Driven Development. In addition, most existing models are prerather than de-scriptive. By contrast, in our thesis, we perform a series of empirical studies to describe the individual constituents of Feedback-Driven Development (FDD) and then compile the evidence into an initial theory on how modern software development works. Our thesis culminates in the finding that feedback loops are the characterizing criterion of contemporary software development. Our model is flexible enough to accommodate a broad bandwidth of contemporary workflows, despite large variances in how projects use and configure parts of FDD.","2574-1934","978-1-4503-5663-3978-1-5386-6479","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449638","Feedback-Driven Development (FDD)","Software;Testing;Software engineering;Static analysis;Tools;Quality assurance;Debugging","","","","","","","","","","","IEEE","IEEE Conferences"
"Sound Software Development for Engineering Simulations","D. MacIsaac; A. D. C. Chan","Faculty of Computer Science & Dept Electrical and Computer Engineering, University of New Brunswick, Fredericton, CANADA. email: dmac@unb.ca; Dept of Systems and Computer Engineering, Carleton University, Ottawa, CANADA. email: adcchan@sce.carleton.ca","2006 Canadian Conference on Electrical and Computer Engineering","","2006","","","2373","2376","Nine engineering research projects involving software development were investigated to demonstrate the need for imposing some sound and practical software engineering practices in undergraduate and graduate research environments where simulation is a common occurrence. All nine projects were monitored through a development phase, a code review and a usage phase. Errors were classified and recorded along with anecdotal observations and a usability rating. Of the nine projects investigated, all had serious errors during usage indicating that software development is problematic. Miscommunication, student inexperience, software platform quirks, and frequent reuse of insufficiently documented software and models were all factors that contributed to errors in the implemented software. Based on the observations made during this investigation, a more rigorous approach to software development is warranted","0840-7789","1-4244-0038-41-4244-0038","10.1109/CCECE.2006.277497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4054888","Software engineering;usability;simulation","Programming;Acoustical engineering;Computational modeling;Software engineering;Usability;Computer simulation;Software design;Software standards;Standards development;Data acquisition","digital simulation;software reusability","sound software development;engineering simulation;software engineering","","","9","","","","","","IEEE","IEEE Conferences"
